4K频道,#genre#
CETV-1,http://txycetvbl.centv.cn/cetv1/ypd.m3u8
CETV-2,http://txycetvbl.centv.cn/cetv2/2020tsytk.m3u8
CETV-3,http://txycetvbl.centv.cn/cetv3/bjdm.m3u8
CETV-4,http://txycetvbl.centv.cn/cetv4/zjpd.m3u8

卫视,#genre#
黑龙江卫视,http://106.115.27.214:9901/tsfile/live/1013_1.m3u8
吉林卫视,http://106.115.27.214:9901/tsfile/live/1052_1.m3u8
辽宁卫视,http://106.115.27.214:9901/tsfile/live/1042_1.m3u8
内蒙古卫视（标清）,http://39.136.172.2/hlsztemgsplive.miguvideo.com/envivo_w/2018/SD/neimeng/1000/index.m3u8?ProgramID=&encrypt=
北京卫视,http://106.115.27.214:9901/tsfile/live/1011_1.m3u8
天津卫视,http://106.115.27.214:9901/tsfile/live/1018_1.m3u8
河北卫视,http://106.115.27.214:9901/tsfile/live/1040_1.m3u8
山东卫视,http://106.115.27.214:9901/tsfile/live/1043_1.m3u8
山西卫视（标清）,http://39.136.172.2/hlsztemgsplive.miguvideo.com/envivo_w/2018/SD/shanxi/1000/index.m3u8?ProgramID=&encrypt=
河南卫视,http://106.115.27.214:9901/tsfile/live/1045_1.m3u8
江苏卫视,http://106.115.27.214:9901/tsfile/live/1015_1.m3u8
安徽卫视,http://106.115.27.214:9901/tsfile/live/1041_1.m3u8
东方卫视,http://106.115.27.214:9901/tsfile/live/1016_1.m3u8
浙江卫视,http://106.115.27.214:9901/tsfile/live/1017_1.m3u8
江西卫视,http://106.115.27.214:9901/tsfile/live/1060_1.m3u8
东南卫视,http://106.115.27.214:9901/tsfile/live/1049_1.m3u8
湖北卫视,http://106.115.27.214:9901/tsfile/live/1046_1.m3u8
湖南卫视,http://106.115.27.214:9901/tsfile/live/1012_1.m3u8
广东卫视,http://106.115.27.214:9901/tsfile/live/1050_1.m3u8
广西卫视,http://106.115.27.214:9901/tsfile/live/1051_1.m3u8
深圳卫视,http://106.115.27.214:9901/tsfile/live/1014_1.m3u8
海南卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225722/index.m3u8
大湾区卫视（标清）,http://39.136.172.2/hlsztemgsplive.miguvideo.com/wd_r3/2018/nfmedia/nfws/1000/index.m3u8?ProgramID=&encrypt=
三沙卫视（720P）,https://pullsstv90080111.ssws.tv/live/SSTV20220729.m3u8
陕西卫视（标清）,https://live.v1.mk/api/ghyx.php?id=ShannXiHD_2000
宁夏卫视（标清）,https://live.v1.mk/api/ghyx.php?id=NingXiaHD_2000
甘肃卫视（标清）,https://live.v1.mk/api/ghyx.php?id=GanSuHD_2000
重庆卫视,http://106.115.27.214:9901/tsfile/live/1048_1.m3u8
贵州卫视,http://106.115.27.214:9901/tsfile/live/1061_1.m3u8
云南卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225664/index.m3u8
新疆卫视,http://livehyw5.chinamcache.com/hyw/zb01.m3u8?txSecret=58347f72aece2c25c685b8dc4da74652&txTime=95A66658
青海卫视（720P）,http://stream.qhbtv.com/qhws/sd/live.m3u8
西藏卫视,https://tv.vtibet.cn/live/EfgSmE4jCTBtvchannel3.m3u8
兵团卫视,https://epg.pw/stream/2b202f5131e7f838ffc3e9da818d60c3de9feafe181ddcaa97d7f3f2bf722134.m3u8

香港,#genre#
凤凰资讯,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰中文,http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8
有线新闻,http://61.10.2.141/live_freedirect/freehd209_h.live/playlist.m3u8
无线新闻,https://cdn.hklive.tv/xxxx/83/index.m3u8
香港卫视（标清）,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
翡翠台,http://r.jdshipin.com/62WM7
TVB华丽,http://r.jdshipin.com/thuYX
TVB星河,http://r.jdshipin.com/sXuuD
TVB功夫（720P）,https://cn-hbyc2-dx-live-01.bilivideo.com/live-bvc/545768/live_179302204_68184269.m3u8
无线财经,http://107.151.203.111:2209/135/hk.php?id=tvbcjtyt
面包台（720P）,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8

台湾,#genre#
中天新闻,http://2023.stream-link.org/playlist/cti_news.flv
中天综合,http://23.237.10.66:16372
民视新闻,http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8
台视新闻,http://38.64.72.148/hls/modn/list/4013/chunklist1.m3u8
TVBS新闻,http://38.64.72.148/hls/modn/list/4006/chunklist1.m3u8
三立新闻,http://123.51.230.64:18543/http/192.168.1.9:8081/hls/65/807/ch18.m3u8
寰宇新闻,http://2023.stream-link.org/playlist/global_news.flv
东森新闻,http://2023.stream-link.org/playlist/ebc_news.flv
东森洋片,http://120.84.96.89:808/hls/33/index.m3u8?$1920x1080
东森电影,http://120.84.96.89:808/hls/32/index.m3u8?$1920x1080
东森财经,http://123.51.230.108:18515/.m3u8
龙祥时代,http://120.84.96.89:808/hls/35/index.m3u8?$1920x1080
纬来体育,http://123.51.230.108:18509/.m3u8
大爱一台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱二台,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
大立电视,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
华视综艺,http://2023.stream-link.org/playlist/cts_zy.flv
好消息,http://123.51.230.108:18507/.m3u8

澳新,#genre#
澳门莲花,http://107.151.203.111:2209/135/hk.php?id=amlh
八度空间,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
亚州新闻,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8

电影,#genre#
4K超高清电影,http://r.jdshipin.com/5DWJk
IPTV高清院线,http://119.39.128.18:88/hls/34/index.m3u8
IPTV抗战剧场,http://119.39.128.18:88/hls/35/index.m3u8
IPTV古装剧场,http://119.39.128.18:88/hls/36/index.m3u8
IPTV经典剧场,http://119.39.128.18:88/hls/37/index.m3u8

体育,#genre#
https://nmglive.imfc.cn/5n1r1c/182396.m3u8

NEWTV,#genre#
东北热剧,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226202/index.m3u8
中国功夫,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225660/index.m3u8
军事评论,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225757/index.m3u8
军旅剧场,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225669/index.m3u8
农业致富,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225670/index.m3u8
古装剧场,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225678/index.m3u8
家庭剧场,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225713/index.m3u8
怡伴健康,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225666/index.m3u8
明星大片,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225716/index.m3u8
欢乐剧场,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226210/index.m3u8
武搏世界,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225656/index.m3u8
海外剧场,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225712/index.m3u8
潮妈辣婆,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225708/index.m3u8
炫舞未来,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225707/index.m3u8
精品体育,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225709/index.m3u8
精品大剧,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225714/index.m3u8
精品纪录,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225710/index.m3u8
超级体育,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225622/index.m3u8
超级电影,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225766/index.m3u8
超级电视剧,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225625/index.m3u8
超级综艺,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225768/index.m3u8

SiTV,#genre#
SiTV都市剧场,http://183.207.255.188/live/program/live/dsjchd/4000000/mnf.m3u8
SiTV欢笑剧场,http://183.207.255.188/live/program/live/hxjchd/4000000/mnf.m3u8
SiTV动漫秀场,http://183.207.255.188/live/program/live/dmxchd/4000000/mnf.m3u8
SiTV法治天地,http://183.207.255.188/live/program/live/fztd/1300000/mnf.m3u8
SiTV生活时尚,http://183.207.255.188/live/program/live/shsshd/4000000/mnf.m3u8
SiTV魅力足球,http://183.207.255.188/live/program/live/mlyyhd/2300000/mnf.m3u8
SiTV幸福彩,http://183.207.255.188/live/program/live/xfchd/2300000/mnf.m3u8
SiTV游戏风云,http://183.207.255.188/live/program/live/yxfyhd/4000000/mnf.m3u8
